WKT,unnamed (1),id,lat,lon
"POINT (106.65074504360808 10.753505870064101)",59.0,60,1.07535058700641E16,1.0665074504360808E16
"POINT (106.63755381325294 10.754694362942741)",60.0,61,1.075469436294274E16,1.0663755381325294E16
"POINT (106.64402924678096 10.758988426937417)",61.0,62,1.0758988426937416E16,1.0664402924678096E16
"POINT (106.6383644213415 10.758743366369833)",62.0,63,1.0758743366369832E16,1.066383644213415E15
"POINT (106.63532547852763 10.757792107871046)",63.0,64,1.0757792107871046E16,1.0663532547852764E16
"POINT (106.64231055743352 10.766600885589519)",64.0,65,1.076660088558952E16,1.0664231055743352E16
"POINT (106.64220326907292 10.76284863326909)",65.0,66,1.076284863326909E15,1.0664220326907292E16
"POINT (106.63758986956731 10.769009258877322)",66.0,67,1.0769009258877322E16,1.0663758986956732E16
"POINT (106.6355889416422 10.769552062451986)",67.0,68,1.0769552062451986E16,1.066355889416422E15
"POINT (106.64806505311532 10.77480180282791)",68.0,69,1.077480180282791E15,1.0664806505311532E16
"POINT (106.6498073410626 10.777333154993244)",69.0,70,1.0777333154993244E16,1.066498073410626E15
"POINT (106.65104438298498 10.78489624563032)",70.0,71,1.078489624563032E15,1.0665104438298498E16
"POINT (106.65386338465963 10.785644537020723)",71.0,72,1.0785644537020724E16,1.0665386338465964E16
"POINT (106.65237207644735 10.790099994039936)",72.0,73,1.0790099994039936E16,1.0665237207644736E16
"POINT (106.66461197362439 10.786811762479628)",73.0,74,1.0786811762479628E16,1.066646119736244E16
"POINT (106.66065839753644 10.788955280873008)",74.0,76,1.0788955280873008E16,1.0666065839753644E16
"POINT (106.65337888227002 10.792775711601207)",75.0,77,1.0792775711601208E16,1.0665337888227002E16
"POINT (106.66146 10.75842)",76.0,78,1075842.0,1.0666146E7
"POINT (106.6703267816908 10.783809636243184)",77.0,79,1.0783809636243184E16,1.066703267816908E15
"POINT (106.67863090080091 10.779383069732242)",78.0,80,1.0779383069732242E16,1.0667863090080092E16
"POINT (106.68039042991468 10.783936108615071)",79.0,81,1.0783936108615072E16,1.0668039042991468E16
"POINT (106.68364126724073 10.78250275195348)",80.0,82,1.078250275195348E15,1.0668364126724072E16
"POINT (106.68546516937086 10.78126963818445)",81.0,83,1.078126963818445E15,1.0668546516937086E16
"POINT (106.68723542732069 10.780089216850765)",82.0,84,1.0780089216850764E16,1.0668723542732068E16
"POINT (106.6816534108424 10.785752341262972)",83.0,85,1.0785752341262972E16,1.066816534108424E15
"POINT (106.68446436589001 10.784361150647603)",84.0,86,1.0784361150647604E16,1.0668446436589E16
"POINT (106.68683543865917 10.782738086797568)",85.0,87,1.0782738086797568E16,1.0668683543865916E16
"POINT (106.68913140957592 10.785046207436585)",86.0,88,1.0785046207436584E16,1.0668913140957592E16
"POINT (106.68527655137667 10.788376615131993)",87.0,89,1.0788376615131992E16,1.0668527655137668E16
"POINT (106.68211277045963 10.791341127683443)",88.0,90,1.0791341127683444E16,1.0668211277045964E16
"POINT (106.68000304692563 10.792839809929237)",89.0,91,1.0792839809929236E16,1.0668000304692564E16
"POINT (106.6779967545825 10.792154770896644)",90.0,92,1.0792154770896644E16,1.066779967545825E15
"POINT (106.67831861966428 10.787612395663967)",91.0,93,1.0787612395663968E16,1.0667831861966428E16
"POINT (106.67849028104123 10.783839326480305)",92.0,94,1.0783839326480304E16,1.0667849028104124E16
"POINT (106.6721809906257 10.791891922408247)",93.0,95,1.0791891922408248E16,1.066721809906257E15
"POINT (106.67151580279001 10.79182341835922)",94.0,96,1.079182341835922E15,1.0667151580279E16
"POINT (106.6720007236231 10.791511855269167)",95.0,97,1.0791511855269168E16,1.066720007236231E15
"POINT (106.67784766703926 10.79415602224354)",96.0,98,1.079415602224354E15,1.0667784766703926E16
"POINT (106.67444363367271 10.796256216065686)",97.0,99,1.0796256216065686E16,1.0667444363367272E16
"POINT (106.66810961842677 10.792494208714377)",98.0,100,1.0792494208714376E16,1.0666810961842676E16
"POINT (106.66662903905055 10.790723641058886)",99.0,101,1.0790723641058886E16,1.0666662903905056E16
"POINT (106.66905246423468 10.793730642599071)",100.0,102,1.0793730642599072E16,1.0666905246423468E16
"POINT (106.66454377135624 10.797067327053494)",101.0,103,1.0797067327053494E16,1.0666454377135624E16
"POINT (106.66067066153873 10.79995497225825)",102.0,104,1.079995497225825E15,1.0666067066153872E16
"POINT (106.66194591783137 10.800735088771935)",103.0,105,1.0800735088771936E16,1.0666194591783136E16
